id,title,year,critic_score,type,original_language
656,Never Rarely Sometimes Always,2020,99,Drama,English
707,The Invisible Man,2020,91,Horror,English
725,Host,2020,100,Horror,English (United Kingdom)
730,Possessor: Uncut,2020,93,Horror,English
731,Relic,2020,92,Horror,English
746,Spontaneous,2020,98,Horror,English
778,The Dark and the Wicked,2020,92,Horror,English
833,Onward,2020,88,Kids & Family,English
1018,The Invisible Man,2020,91,Mystery & Suspense,English
1049,His House,2020,100,Mystery & Suspense,English (United Kingdom)
1072,The Trial of the Chicago 7,2020,89,Mystery & Suspense,English
1092,Possessor: Uncut,2020,93,Mystery & Suspense,English
1168,The Half of It,2020,97,Romance,English
1190,Shithouse,2020,97,Romance,English
1220,The Invisible Man,2020,91,Science Fiction & Fantasy,English
1273,Onward,2020,88,Science Fiction & Fantasy,English
1290,Possessor: Uncut,2020,93,Science Fiction & Fantasy,English
